Название теста,Кол-во прогонов,Длительность_среднее,Длительность_дисперсия,Длительность_ДИ_нижн,Длительность_ДИ_верхн,ОЗУ_среднее,ОЗУ_дисперсия,ОЗУ_ДИ_нижн,ОЗУ_ДИ_верхн,CPU_User_среднее_%,CPU_User_дисперсия,CPU_User_ДИ_нижн_%,CPU_User_ДИ_верхн_%,CPU_System_среднее_%,CPU_System_дисперсия,CPU_System_ДИ_нижн_%,CPU_System_ДИ_верхн_%
Trigger exception page - oups | oups - 1,25,609.08,17010.159999999996,557.9541823904987,660.2058176095014,526.12484375,584.8211180114746,516.64507833739,535.6046091626099,469.9440000000001,10373.741474999997,430.0181861696672,509.86981383033293,192.28919999999994,12970.661574333331,147.64478556595952,236.93361443404035
Non-existent owner | non_existent - 1,25,1606.28,48411992.79333333,-1121.2061063981193,4333.7661063981195,532.2534375,1442.3504922485351,517.3659479184461,547.140927081554,1242.0380000000002,93693.75768333336,1122.0490105857555,1362.026989414245,486.54320000000007,43754.86602266666,404.5459577749895,568.5404422250106
Create new owner with valid data | valid - 1,25,1611.16,38674.05666666667,1534.070375253043,1688.2496247469571,614.46453125,50.52816380818684,611.6780711725144,617.2509913274857,289.99799999999993,571.6110416666664,280.62591169980413,299.37008830019573,189.93919999999997,3012.288957666666,168.42454521794755,211.4538547820524
Find owners by last name  multiple results | multiple - 1,25,525.8,753.4166666666666,515.0402128893427,536.5597871106572,610.24421875,109.76129928588868,606.1373512949356,614.3510862050643,882.0980000000001,5605.650750000002,852.7486096000616,911.4473903999385,534.0468000000001,28449.88102266667,467.9277973043525,600.1658026956477
Find owners by last name  single result redirects | single - 1,25,568.04,554.623333333333,558.8082266116778,577.2717733883221,615.56671875,78.99723551432292,612.0826075006175,619.0508299993824,809.1720000000001,7111.605950000001,776.1145074045113,842.229492595489,505.972,18063.594499999996,453.2868580219432,558.6571419780568
Find owners no results | none - 1,25,539.76,379.94,532.1191165327562,547.4008834672438,616.0546875,16.067405700683594,614.4833880919972,617.6259869080028,852.71,8028.6469000000025,817.5857349223987,887.8342650776013,586.044,17927.2026,533.5581384720952,638.5298615279048
Edit owner address successfully | edit - 1,25,645.72,1682.2099999999998,629.6422166502966,661.7977833497034,622.91234375,1535.8046850585931,607.5501208924561,638.2745666075439,4625.053599999998,380485013.02447397,-3021.3082173215416,12271.41541732154,1345.3084000000003,18794544.323022336,-354.1164611965471,3044.7332611965476
Telephone validation alphabetic | alphabetic - 1,25,1314.96,846.3733333333331,1303.555741501819,1326.364258498181,615.95921875,21.213446400960283,614.1537429047567,617.7646945952433,351.468,1030.3147166666668,338.8853818057661,364.05061819423395,205.1704,4978.675337333332,177.5109862853894,232.8298137146106
Telephone validation too short | too_short - 1,25,1310.08,746.6599999999999,1299.3685686185272,1320.7914313814726,615.3071875,46.48403025309244,612.6345629426013,617.9798120573988,357.0976,828.0678023333335,345.8173424330049,368.3778575669951,227.7688,3392.2181276666674,204.9376413266043,250.5999586733957
Telephone validation  too long | too_long - 1,25,1402.28,480.46,1393.6875960616367,1410.8724039383633,615.3753125,48.52872456868488,612.6445400942285,618.1060849057714,318.55400000000003,608.418875,308.8848698422247,328.22313015777536,209.19600000000003,3178.6854000000008,187.09510605189013,231.29689394810993
Telephone validation valid telephone | valid_telephone - 1,25,1385.28,226.95999999999995,1379.3744448660605,1391.1855551339395,613.715625,62.995967864990234,610.6043210280285,616.8269289719716,329.54999999999995,1327.0414333333335,315.2699966802618,343.8300033197381,205.54079999999993,4696.033032666666,178.67797773703415,232.4036222629657
Add a new pet to existing owner | add - 1,25,929,851.1666666666666,917.5634937735921,940.4365062264079,613.12875,96.85724955240887,609.2708396335942,616.9866603664058,425.4516,1151.3525973333337,412.1504178902539,438.7527821097461,255.04679999999996,4781.659414333332,227.9401788117346,282.1534211882653
Duplicate pet name validation | duplicate - 1,25,852.76,392.19,844.9969152935189,860.5230847064811,611.03,107.26923716227213,606.9700221602448,615.0899778397552,431.9564,2732.5531406666673,411.465059248175,452.44774075182494,225.04840000000004,9615.330713999998,186.60974525199805,263.48705474800204
Birth date in future is rejected | future - 1,25,883.52,335.2600000000003,876.3424382524425,890.6975617475574,612.13640625,60.09156153361004,609.0976713633243,615.1751411366758,423.6468000000001,2730.4985559999996,403.1631643337131,444.1304356662871,228.26679999999996,7446.674222666667,194.43950705847342,262.09409294152647
Pet creation requires name | missing_name - 1,25,696.68,213.3933333333334,690.9536684366574,702.4063315633425,610.413125,86.25673965454102,606.7724443435465,614.0538056564536,539.2224000000001,3168.2420440000005,517.1578414173043,561.2869585826959,295.1124,13053.067460666665,250.32639148979803,339.89840851020193
Pet creation requires birth date | missing_birth - 1,25,653.28,281.71000000000004,646.7005862388811,659.8594137611188,612.096875,38.928007761637375,609.6510963132247,614.5426536867752,562.2080000000001,2047.5042000000003,544.4702525277645,579.9457474722357,291.082,16944.358941666665,240.05516419361015,342.10883580638983
Edit pet name successfully | edit - 1,25,574.4,209.83333333333326,568.7216349770965,580.0783650229034,612.435625,43.941472524007146,609.8371211162374,615.0341288837625,660.0956,7381.294842333332,626.4171307555063,693.7740692444937,415.69079999999997,18704.190291000003,362.0796006394538,469.3019993605461
View vets as HTML with pagination | first_page - 1,25,252.28,705.96,241.86459614609208,262.6954038539079,537.8653125,1179.1270282999676,524.4046522013116,551.3259727986883,1121.9507999999998,8465.950441,1085.8826449520102,1158.0189550479895,391.2236000000001,28181.880099,325.4167582315887,457.0304417684115
Add a visit to a pet | add - 1,25,851.96,258.8733333333332,845.6528998824077,858.2671001175923,614.61703125,56.3398036702474,611.6746853167037,617.5593771832962,406.13519999999994,2003.4742593333333,388.5892070504346,423.6811929495653,189.12159999999997,7851.521389,154.38694608320822,223.85625391679173
Visit with empty description shows error | empty_desc - 1,25,343.04,210.95666666666668,337.34645582904056,348.7335441709595,608.3859375,55.943895975748696,605.4539479312571,611.3179270687428,979.7736,3544.550124,956.4354391844101,1003.1117608155898,447.36999999999995,28437.829866666663,381.26500254419886,513.474997455801
Add multiple visits - Checkup 1 | checkup1 - 1,25,579.76,306.6899999999998,572.8950737687867,586.6249262312133,616.071875,1472.9707425435383,601.0271890218145,631.1165609781855,606.0111999999999,21092.97682766667,549.0793882314766,662.9430117685232,312.61960000000005,26599.27657066667,248.6872041825827,376.5519958174174
Add multiple visits - Checkup 2 | checkup2 - 1,25,576.36,258.24000000000007,570.0606197638181,582.659380236182,612.10796875,48.35445388793946,609.3821039693779,614.8338335306222,579.3507999999999,2997.5505743333338,557.88884269284,600.8127573071599,258.528,13985.300925000001,212.17028994720297,304.88571005279704
Visits appear on owner details page | history - 1,25,197.68,91.9766666666667,193.9205449189189,201.43945508108112,608.4328125,110.7185770670573,604.3080750021181,612.5575499978818,1719.7572000000002,17435.814845999997,1667.9956597167384,1771.518740283262,991.8368,130198.04422266666,850.3915729068533,1133.2820270931468
Итогово,25,18909.16,47883410.05666665,16196.60468757822,21621.71531242178,602.8999932065217,15.842872659722849,601.339711442101,604.4602749709424,825.3576,724819.3406023332,491.6232158644769,1159.0919841355233,390.8168,34383.90642266666,318.12864005264237,463.50495994735763
